,Predictions,y_test
891,LOC:country,LOC:country
892,DESC:def,ENTY:cremat
893,DESC:def,DESC:def
894,HUM:ind,HUM:ind
895,HUM:gr,HUM:gr
896,HUM:ind,HUM:ind
897,DESC:def,DESC:def
898,DESC:manner,DESC:manner
899,HUM:ind,HUM:desc
900,DESC:def,DESC:def
901,HUM:ind,HUM:ind
902,LOC:state,LOC:state
903,DESC:def,DESC:def
904,NUM:count,NUM:count
905,DESC:manner,DESC:manner
906,LOC:city,LOC:city
907,DESC:desc,DESC:desc
908,HUM:ind,HUM:ind
909,DESC:manner,DESC:manner
910,ENTY:dismed,ENTY:dismed
911,DESC:manner,DESC:manner
912,NUM:speed,NUM:speed
913,LOC:other,LOC:other
914,LOC:city,LOC:city
915,LOC:other,LOC:other
916,LOC:other,LOC:other
917,DESC:def,DESC:def
918,ENTY:cremat,ENTY:cremat
919,ENTY:other,ENTY:other
920,DESC:manner,DESC:manner
921,LOC:other,LOC:other
922,HUM:ind,HUM:ind
923,DESC:def,DESC:def
924,HUM:ind,HUM:ind
925,HUM:gr,HUM:gr
926,DESC:manner,DESC:manner
927,ENTY:lang,ENTY:lang
928,DESC:def,DESC:def
929,LOC:mount,LOC:other
930,NUM:count,NUM:count
931,HUM:ind,HUM:ind
932,HUM:ind,ENTY:cremat
933,LOC:other,LOC:other
934,DESC:desc,DESC:desc
935,DESC:desc,DESC:def
936,DESC:def,LOC:other
937,ENTY:food,ENTY:food
938,DESC:def,NUM:date
939,HUM:ind,HUM:ind
940,LOC:other,LOC:other
941,ENTY:termeq,ENTY:dismed
942,DESC:def,HUM:ind
943,DESC:reason,DESC:reason
944,HUM:ind,ENTY:other
945,ENTY:sport,HUM:gr
946,LOC:other,LOC:other
947,DESC:def,DESC:def
948,HUM:ind,ENTY:termeq
949,DESC:def,DESC:def
950,NUM:date,NUM:date
951,HUM:ind,ENTY:animal
952,NUM:date,NUM:date
953,DESC:desc,DESC:desc
954,LOC:city,LOC:city
955,DESC:reason,DESC:reason
956,HUM:gr,HUM:gr
957,LOC:city,LOC:city
958,HUM:title,HUM:title
959,LOC:other,LOC:other
960,HUM:ind,HUM:ind
961,LOC:other,LOC:other
962,LOC:other,LOC:other
963,ENTY:product,ENTY:product
964,DESC:desc,DESC:desc
965,HUM:ind,HUM:ind
966,NUM:count,NUM:count
967,ENTY:body,DESC:desc
968,ABBR:exp,ABBR:exp
969,HUM:gr,HUM:gr
970,LOC:other,LOC:other
971,NUM:count,NUM:count
972,LOC:other,NUM:other
973,DESC:desc,DESC:desc
974,DESC:manner,DESC:manner
975,DESC:reason,DESC:reason
976,ENTY:cremat,ENTY:cremat
977,HUM:ind,HUM:ind
978,LOC:city,LOC:city
979,HUM:gr,HUM:gr
980,ENTY:cremat,ENTY:cremat
981,ENTY:body,NUM:other
982,DESC:manner,DESC:manner
983,LOC:mount,LOC:mount
984,DESC:def,DESC:def
985,LOC:other,LOC:other
986,LOC:other,LOC:other
987,NUM:count,NUM:money
988,ENTY:cremat,ENTY:cremat
989,LOC:city,LOC:city
990,DESC:def,HUM:ind
991,ABBR:exp,ABBR:abb
992,HUM:ind,HUM:ind
993,HUM:ind,ENTY:dismed
994,ENTY:product,ENTY:other
995,NUM:date,NUM:date
996,DESC:manner,DESC:manner
997,DESC:desc,DESC:desc
998,ENTY:cremat,NUM:date
999,DESC:def,DESC:def
1000,LOC:country,LOC:country
1001,DESC:desc,HUM:ind
1002,DESC:manner,DESC:manner
1003,DESC:def,DESC:def
1004,LOC:other,LOC:other
1005,NUM:date,NUM:date
1006,DESC:def,DESC:desc
1007,NUM:count,NUM:count
1008,HUM:ind,HUM:ind
1009,ENTY:cremat,ENTY:cremat
1010,HUM:ind,HUM:ind
1011,DESC:def,DESC:def
1012,ABBR:exp,ABBR:exp
1013,HUM:desc,HUM:desc
1014,DESC:desc,DESC:desc
1015,NUM:count,NUM:count
1016,NUM:date,NUM:date
1017,DESC:def,DESC:def
1018,HUM:ind,HUM:ind
1019,HUM:ind,HUM:ind
1020,DESC:def,DESC:def
1021,ENTY:substance,ENTY:substance
1022,ENTY:event,NUM:count
1023,NUM:money,NUM:money
1024,NUM:count,NUM:count
1025,HUM:ind,HUM:ind
1026,DESC:def,DESC:def
1027,DESC:desc,DESC:desc
1028,HUM:ind,HUM:ind
1029,DESC:def,DESC:def
1030,LOC:city,LOC:city
1031,DESC:def,DESC:desc
1032,ENTY:cremat,ENTY:cremat
1033,DESC:def,DESC:desc
1034,DESC:desc,DESC:desc
1035,DESC:manner,DESC:manner
1036,HUM:ind,HUM:ind
1037,DESC:desc,DESC:desc
1038,DESC:def,DESC:def
1039,NUM:count,NUM:count
1040,ENTY:sport,NUM:other
1041,DESC:manner,DESC:manner
1042,HUM:ind,HUM:ind
1043,NUM:date,NUM:date
1044,ENTY:cremat,ENTY:cremat
1045,DESC:def,DESC:def
1046,LOC:mount,LOC:mount
1047,DESC:def,DESC:reason
1048,ENTY:other,ENTY:other
1049,HUM:gr,HUM:gr
1050,HUM:ind,HUM:ind
1051,ENTY:cremat,ENTY:cremat
1052,DESC:def,DESC:def
1053,ENTY:dismed,ENTY:dismed
1054,HUM:ind,HUM:title
1055,DESC:def,DESC:desc
1056,LOC:city,LOC:city
1057,ABBR:exp,ABBR:exp
1058,HUM:gr,HUM:gr
1059,HUM:ind,HUM:ind
1060,ENTY:other,ENTY:other
1061,LOC:city,LOC:city
1062,LOC:other,LOC:other
1063,LOC:other,LOC:other
1064,DESC:manner,DESC:manner
1065,DESC:def,DESC:desc
1066,LOC:other,LOC:other
1067,DESC:def,DESC:def
1068,DESC:def,ABBR:exp
1069,ENTY:animal,ENTY:animal
1070,HUM:ind,HUM:ind
1071,HUM:ind,HUM:ind
1072,HUM:ind,HUM:ind
1073,NUM:date,NUM:date
1074,LOC:other,LOC:other
1075,DESC:desc,DESC:desc
1076,ENTY:other,ENTY:other
1077,ENTY:other,ENTY:dismed
1078,DESC:def,DESC:def
1079,LOC:mount,LOC:mount
1080,LOC:other,LOC:other
1081,NUM:period,NUM:period
1082,HUM:ind,HUM:ind
1083,DESC:def,DESC:def
1084,DESC:def,DESC:def
1085,HUM:ind,HUM:ind
1086,ENTY:cremat,NUM:date
1087,ENTY:other,ENTY:product
1088,NUM:count,NUM:count
1089,LOC:city,LOC:city
1090,ENTY:lang,ENTY:lang
1091,NUM:perc,HUM:gr
1092,HUM:ind,HUM:ind
1093,ENTY:word,ENTY:word
1094,NUM:other,DESC:desc
1095,NUM:count,NUM:count
1096,DESC:desc,DESC:desc
1097,ENTY:cremat,ENTY:event
1098,LOC:country,LOC:country
1099,NUM:count,NUM:count
1100,ENTY:termeq,ENTY:cremat
1101,LOC:city,LOC:city
1102,HUM:ind,HUM:ind
1103,HUM:ind,HUM:ind
1104,ENTY:substance,ENTY:substance
1105,ENTY:product,HUM:ind
1106,DESC:desc,DESC:manner
1107,ENTY:other,ENTY:other
1108,LOC:city,LOC:city
1109,DESC:manner,DESC:manner
1110,HUM:ind,ENTY:other
1111,DESC:desc,DESC:desc
1112,LOC:mount,LOC:mount
1113,HUM:ind,HUM:ind
1114,NUM:count,NUM:count
1115,HUM:gr,HUM:gr
1116,DESC:def,ENTY:dismed
1117,HUM:ind,HUM:ind
1118,ENTY:dismed,ENTY:dismed
1119,HUM:ind,HUM:ind
1120,NUM:date,NUM:date
1121,ENTY:dismed,ENTY:dismed
1122,DESC:def,ENTY:cremat
1123,HUM:ind,HUM:ind
1124,NUM:count,NUM:count
1125,NUM:count,NUM:count
1126,DESC:def,DESC:def
1127,DESC:def,DESC:def
1128,HUM:ind,HUM:ind
1129,DESC:manner,DESC:manner
1130,DESC:manner,DESC:manner
1131,HUM:gr,HUM:ind
1132,DESC:def,DESC:def
1133,HUM:title,ENTY:termeq
1134,DESC:desc,HUM:gr
1135,HUM:gr,HUM:gr
1136,HUM:ind,HUM:ind
1137,DESC:def,DESC:def
1138,DESC:def,DESC:def
1139,NUM:date,NUM:date
1140,DESC:def,DESC:def
1141,ENTY:symbol,ENTY:symbol
1142,ABBR:exp,ABBR:abb
1143,DESC:desc,ENTY:dismed
1144,LOC:other,LOC:country
1145,HUM:ind,HUM:ind
1146,NUM:period,NUM:period
1147,ENTY:dismed,ENTY:dismed
1148,NUM:volsize,NUM:volsize
1149,ENTY:instru,ENTY:instru
1150,HUM:gr,HUM:gr
1151,HUM:ind,HUM:ind
1152,NUM:weight,NUM:weight
1153,HUM:ind,HUM:ind
1154,HUM:ind,HUM:ind
1155,ENTY:food,ENTY:food
1156,DESC:def,NUM:dist
1157,ENTY:termeq,ENTY:termeq
1158,DESC:manner,DESC:manner
1159,ABBR:exp,ABBR:exp
1160,ENTY:product,ENTY:termeq
1161,ENTY:animal,ENTY:cremat
1162,LOC:other,LOC:other
1163,ENTY:dismed,HUM:ind
1164,ENTY:dismed,ENTY:dismed
1165,DESC:manner,DESC:manner
1166,NUM:date,NUM:date
1167,ENTY:symbol,ENTY:symbol
1168,LOC:state,LOC:state
1169,NUM:count,NUM:count
1170,ENTY:other,DESC:def
1171,LOC:other,ENTY:techmeth
1172,LOC:mount,LOC:mount
1173,DESC:def,DESC:def
1174,ENTY:other,ENTY:other
1175,LOC:other,LOC:other
1176,HUM:ind,ENTY:food
1177,LOC:country,LOC:country
1178,LOC:other,LOC:other
1179,ENTY:other,ENTY:techmeth
1180,LOC:other,LOC:other
1181,HUM:ind,HUM:ind
1182,ENTY:veh,ENTY:veh
1183,DESC:def,DESC:def
1184,HUM:ind,LOC:other
1185,HUM:ind,HUM:ind
1186,ENTY:food,ENTY:substance
1187,DESC:def,DESC:def
1188,NUM:count,NUM:count
1189,LOC:mount,LOC:mount
1190,HUM:ind,HUM:ind
1191,HUM:ind,HUM:ind
1192,HUM:ind,HUM:ind
1193,ENTY:dismed,ENTY:dismed
1194,HUM:ind,HUM:ind
1195,NUM:period,NUM:period
1196,HUM:ind,HUM:ind
1197,ENTY:termeq,DESC:desc
1198,ENTY:substance,HUM:ind
1199,ENTY:other,ENTY:other
1200,NUM:count,NUM:count
1201,HUM:ind,HUM:ind
1202,NUM:date,NUM:date
1203,DESC:desc,DESC:desc
1204,HUM:ind,HUM:ind
1205,ENTY:substance,ENTY:substance
1206,LOC:other,LOC:other
1207,LOC:country,LOC:country
1208,HUM:ind,HUM:ind
1209,ENTY:animal,ENTY:animal
1210,ENTY:animal,ENTY:animal
1211,HUM:ind,HUM:ind
1212,HUM:ind,HUM:ind
1213,ENTY:food,ENTY:food
1214,HUM:gr,HUM:gr
1215,HUM:ind,HUM:ind
1216,ENTY:cremat,ENTY:cremat
1217,DESC:def,HUM:gr
1218,DESC:def,DESC:def
1219,HUM:ind,HUM:ind
1220,LOC:country,LOC:country
1221,HUM:ind,HUM:ind
1222,ENTY:cremat,ENTY:cremat
1223,NUM:money,NUM:money
1224,HUM:ind,HUM:ind
1225,LOC:city,LOC:city
1226,NUM:count,NUM:count
1227,ENTY:food,DESC:desc
1228,LOC:country,LOC:country
1229,ENTY:animal,DESC:def
1230,ENTY:animal,HUM:ind
1231,ENTY:sport,ENTY:sport
1232,HUM:ind,DESC:reason
1233,ENTY:substance,ENTY:substance
1234,NUM:count,NUM:count
1235,DESC:reason,DESC:reason
1236,ENTY:other,ENTY:food
1237,HUM:gr,HUM:gr
1238,DESC:desc,DESC:desc
1239,DESC:reason,DESC:reason
1240,HUM:ind,HUM:ind
1241,DESC:def,DESC:def
1242,NUM:count,NUM:count
1243,NUM:perc,NUM:perc
1244,HUM:ind,LOC:other
1245,NUM:period,NUM:period
1246,NUM:dist,NUM:dist
1247,HUM:ind,ENTY:sport
1248,NUM:date,NUM:date
1249,HUM:ind,HUM:ind
1250,ENTY:event,ENTY:event
1251,ENTY:dismed,ENTY:dismed
1252,DESC:def,DESC:def
1253,HUM:ind,HUM:ind
1254,DESC:reason,DESC:reason
1255,DESC:def,ENTY:event
1256,HUM:ind,HUM:ind
1257,ENTY:termeq,ENTY:termeq
1258,ENTY:cremat,HUM:ind
1259,ENTY:other,NUM:date
1260,DESC:manner,NUM:dist
1261,DESC:manner,DESC:manner
1262,DESC:def,ENTY:color
1263,ENTY:animal,ENTY:animal
1264,LOC:other,LOC:other
1265,LOC:country,LOC:country
1266,HUM:desc,HUM:desc
1267,ABBR:exp,ABBR:exp
1268,ENTY:animal,ENTY:animal
1269,ENTY:other,LOC:other
1270,DESC:desc,DESC:desc
1271,HUM:ind,HUM:ind
1272,ENTY:dismed,ENTY:dismed
1273,DESC:desc,ENTY:other
1274,HUM:ind,HUM:ind
1275,DESC:desc,DESC:desc
1276,NUM:date,NUM:date
1277,LOC:other,LOC:other
1278,NUM:count,NUM:count
1279,DESC:def,DESC:def
1280,ENTY:word,ENTY:word
1281,HUM:ind,HUM:ind
1282,LOC:state,LOC:state
1283,HUM:gr,HUM:ind
1284,DESC:manner,DESC:manner
1285,DESC:reason,DESC:reason
1286,LOC:other,LOC:other
1287,ENTY:techmeth,ENTY:techmeth
1288,NUM:count,NUM:count
1289,LOC:other,LOC:other
1290,LOC:state,NUM:date
1291,DESC:manner,DESC:manner
1292,DESC:def,DESC:def
1293,ENTY:substance,ENTY:substance
1294,LOC:country,LOC:country
1295,LOC:other,LOC:other
1296,HUM:ind,ENTY:religion
1297,DESC:reason,DESC:reason
1298,HUM:ind,HUM:ind
1299,HUM:ind,HUM:ind
1300,DESC:reason,DESC:reason
1301,NUM:count,HUM:ind
1302,DESC:desc,DESC:desc
1303,ENTY:animal,ENTY:animal
1304,ENTY:animal,ENTY:animal
1305,ENTY:sport,ENTY:sport
1306,ENTY:cremat,ENTY:event
1307,HUM:ind,ENTY:other
1308,LOC:country,LOC:country
1309,ENTY:cremat,HUM:ind
1310,LOC:country,LOC:country
1311,DESC:desc,DESC:desc
1312,HUM:ind,HUM:ind
1313,LOC:other,NUM:ord
1314,DESC:def,DESC:def
1315,ENTY:termeq,ENTY:termeq
1316,LOC:other,LOC:other
1317,ENTY:dismed,ENTY:dismed
1318,LOC:other,LOC:other
1319,HUM:gr,HUM:gr
1320,HUM:ind,ENTY:other
1321,NUM:other,DESC:def
1322,ENTY:food,ENTY:food
1323,ENTY:product,ENTY:product
1324,NUM:dist,NUM:dist
1325,HUM:ind,HUM:ind
1326,DESC:desc,DESC:desc
1327,ABBR:exp,ABBR:exp
1328,DESC:desc,NUM:other
1329,NUM:period,NUM:period
1330,DESC:manner,DESC:manner
1331,DESC:def,DESC:def
1332,DESC:manner,DESC:manner
1333,HUM:ind,HUM:ind
1334,ENTY:other,ENTY:other
1335,DESC:def,DESC:def
1336,LOC:country,LOC:country
1337,HUM:ind,ENTY:product
1338,ENTY:lang,ENTY:lang
1339,ENTY:cremat,ENTY:cremat
1340,ENTY:event,ENTY:event
1341,HUM:ind,HUM:ind
1342,DESC:manner,LOC:other
1343,DESC:desc,ENTY:dismed
1344,ENTY:sport,ENTY:sport
1345,LOC:other,LOC:other
1346,HUM:ind,HUM:ind
1347,ENTY:plant,ENTY:plant
1348,LOC:other,LOC:other
1349,DESC:desc,DESC:desc
1350,ENTY:other,ENTY:other
1351,LOC:other,LOC:other
1352,DESC:reason,DESC:reason
1353,LOC:other,LOC:other
1354,NUM:money,NUM:money
1355,NUM:money,NUM:money
1356,DESC:def,DESC:def
1357,HUM:ind,ENTY:event
1358,ABBR:exp,ABBR:exp
1359,ENTY:other,ENTY:word
1360,ENTY:event,DESC:desc
1361,HUM:ind,HUM:ind
1362,HUM:ind,LOC:other
1363,ENTY:other,HUM:gr
1364,LOC:other,LOC:other
1365,DESC:def,ENTY:food
1366,HUM:gr,HUM:gr
1367,DESC:desc,DESC:desc
1368,HUM:gr,ENTY:other
1369,DESC:desc,DESC:desc
1370,HUM:ind,HUM:ind
1371,NUM:date,NUM:date
1372,HUM:ind,ENTY:dismed
1373,DESC:def,ABBR:exp
1374,DESC:def,DESC:def
1375,ENTY:dismed,ENTY:dismed
1376,ENTY:food,NUM:money
1377,ENTY:animal,ENTY:animal
1378,LOC:city,LOC:city
1379,DESC:reason,DESC:reason
1380,LOC:country,LOC:country
1381,HUM:ind,HUM:ind
1382,NUM:count,NUM:count
1383,ENTY:cremat,ENTY:cremat
1384,DESC:def,DESC:def
1385,LOC:country,LOC:country
1386,LOC:city,LOC:city
1387,HUM:ind,HUM:ind
1388,ENTY:other,ENTY:other
1389,ENTY:dismed,ENTY:dismed
1390,LOC:city,LOC:city
1391,NUM:money,NUM:money
1392,HUM:ind,HUM:ind
1393,ENTY:animal,ENTY:animal
1394,DESC:def,ENTY:termeq
1395,HUM:ind,HUM:ind
1396,LOC:other,LOC:other
1397,NUM:count,NUM:count
1398,HUM:gr,HUM:gr
1399,DESC:reason,DESC:reason
1400,DESC:desc,DESC:desc
1401,HUM:ind,HUM:ind
1402,ENTY:food,ENTY:food
1403,HUM:ind,HUM:ind
1404,ENTY:cremat,ENTY:cremat
1405,LOC:city,LOC:city
1406,ENTY:word,ENTY:word
1407,DESC:def,DESC:def
1408,HUM:ind,HUM:ind
1409,ENTY:other,ENTY:other
1410,HUM:ind,HUM:ind
1411,ENTY:sport,ENTY:sport
1412,DESC:desc,HUM:gr
1413,ENTY:animal,ENTY:animal
1414,DESC:reason,DESC:reason
1415,HUM:ind,ENTY:animal
1416,DESC:def,DESC:def
1417,HUM:ind,NUM:count
1418,DESC:reason,DESC:reason
1419,LOC:city,LOC:city
1420,LOC:other,LOC:other
1421,ENTY:other,DESC:desc
1422,DESC:manner,DESC:manner
1423,NUM:count,NUM:count
1424,LOC:other,LOC:other
1425,DESC:def,ENTY:cremat
1426,ENTY:substance,ENTY:food
1427,DESC:manner,DESC:manner
1428,DESC:manner,DESC:manner
1429,LOC:other,LOC:other
1430,ENTY:sport,DESC:desc
1431,DESC:manner,DESC:manner
1432,ENTY:other,ENTY:other
1433,DESC:desc,HUM:ind
1434,DESC:def,ENTY:other
1435,HUM:ind,HUM:ind
1436,HUM:ind,HUM:ind
1437,HUM:ind,ENTY:animal
1438,ENTY:dismed,ENTY:dismed
1439,DESC:def,DESC:def
1440,DESC:desc,DESC:desc
1441,ENTY:cremat,ENTY:cremat
1442,DESC:def,HUM:ind
1443,LOC:country,LOC:country
1444,DESC:def,DESC:def
1445,ENTY:sport,ENTY:sport
1446,LOC:country,LOC:country
1447,LOC:other,LOC:other
1448,LOC:other,LOC:other
1449,NUM:count,NUM:count
1450,NUM:count,NUM:count
1451,ENTY:food,ENTY:food
1452,HUM:ind,HUM:ind
1453,DESC:def,DESC:def
1454,ENTY:cremat,ENTY:cremat
1455,NUM:period,NUM:period
1456,LOC:state,LOC:state
1457,ABBR:exp,ABBR:exp
1458,NUM:date,NUM:date
1459,ENTY:dismed,ENTY:dismed
1460,LOC:other,LOC:other
1461,HUM:ind,HUM:gr
1462,HUM:ind,HUM:gr
1463,HUM:gr,HUM:gr
1464,ENTY:termeq,ENTY:termeq
1465,ENTY:termeq,DESC:def
1466,HUM:ind,HUM:ind
1467,HUM:ind,HUM:ind
1468,NUM:date,NUM:date
1469,ENTY:animal,ENTY:animal
1470,NUM:perc,DESC:desc
1471,LOC:city,LOC:city
1472,LOC:other,LOC:other
1473,HUM:ind,HUM:ind
1474,DESC:def,DESC:def
1475,DESC:def,DESC:def
1476,NUM:money,ENTY:other
1477,DESC:reason,HUM:gr
1478,DESC:desc,DESC:desc
1479,LOC:other,LOC:other
1480,ENTY:other,ENTY:other
1481,HUM:ind,ENTY:cremat
1482,ENTY:food,ENTY:food
1483,ENTY:termeq,ENTY:letter
1484,DESC:reason,DESC:reason
1485,HUM:ind,HUM:ind
1486,NUM:count,NUM:count
1487,LOC:country,LOC:country
1488,DESC:def,DESC:desc
1489,NUM:money,NUM:money
1490,DESC:def,ENTY:dismed
1491,DESC:desc,DESC:desc
1492,HUM:ind,HUM:ind
1493,ABBR:exp,ABBR:exp
1494,NUM:period,NUM:dist
1495,DESC:def,ABBR:exp
1496,NUM:period,NUM:period
1497,ENTY:other,LOC:other
1498,HUM:ind,HUM:gr
1499,HUM:gr,NUM:count
1500,ENTY:termeq,ENTY:termeq
1501,ENTY:substance,ENTY:dismed
1502,ENTY:other,ENTY:other
1503,LOC:other,LOC:mount
1504,ENTY:cremat,ENTY:cremat
1505,NUM:money,NUM:money
1506,HUM:ind,HUM:ind
1507,HUM:ind,HUM:ind
1508,HUM:ind,HUM:ind
1509,HUM:gr,HUM:gr
1510,DESC:def,DESC:def
1511,LOC:other,LOC:other
1512,ENTY:cremat,ENTY:cremat
1513,NUM:other,NUM:other
1514,NUM:date,NUM:date
1515,HUM:ind,HUM:ind
1516,NUM:count,NUM:count
1517,HUM:ind,ENTY:cremat
1518,HUM:ind,ENTY:animal
1519,DESC:manner,NUM:dist
1520,ENTY:cremat,ENTY:cremat
1521,DESC:desc,DESC:desc
1522,HUM:ind,HUM:ind
1523,DESC:desc,ENTY:color
1524,ENTY:other,LOC:other
1525,ENTY:product,ENTY:product
1526,HUM:ind,HUM:ind
1527,ENTY:other,ENTY:other
1528,LOC:country,LOC:country
1529,LOC:other,LOC:other
1530,ENTY:cremat,ENTY:cremat
1531,NUM:period,NUM:period
1532,DESC:def,DESC:desc
1533,ENTY:veh,ENTY:veh
1534,HUM:ind,HUM:ind
1535,NUM:count,NUM:count
1536,ENTY:food,ENTY:food
1537,NUM:count,NUM:count
1538,DESC:def,DESC:def
1539,DESC:desc,ENTY:techmeth
1540,NUM:date,NUM:date
1541,HUM:ind,HUM:ind
1542,LOC:other,LOC:other
1543,DESC:manner,DESC:manner
1544,NUM:count,NUM:temp
1545,DESC:reason,DESC:reason
1546,ENTY:veh,DESC:desc
1547,DESC:def,DESC:def
1548,ENTY:animal,DESC:desc
1549,ENTY:animal,ENTY:animal
1550,HUM:ind,HUM:ind
1551,DESC:manner,DESC:manner
1552,LOC:mount,LOC:mount
1553,HUM:ind,HUM:ind
1554,ENTY:dismed,ENTY:dismed
1555,DESC:desc,ENTY:animal
1556,HUM:ind,LOC:other
1557,LOC:other,LOC:other
1558,ENTY:other,ENTY:other
1559,ENTY:dismed,ENTY:dismed
1560,NUM:other,NUM:other
1561,DESC:def,ABBR:exp
1562,DESC:def,LOC:city
1563,HUM:ind,HUM:ind
1564,ENTY:animal,ENTY:animal
1565,HUM:ind,HUM:ind
1566,DESC:def,DESC:def
1567,LOC:other,LOC:other
1568,LOC:other,LOC:other
1569,ENTY:color,ENTY:color
1570,DESC:desc,ENTY:other
1571,ENTY:other,ENTY:substance
1572,HUM:ind,HUM:desc
1573,DESC:desc,ENTY:word
1574,ENTY:cremat,DESC:desc
1575,ENTY:animal,ENTY:animal
1576,DESC:def,DESC:def
1577,DESC:manner,DESC:manner
1578,DESC:reason,DESC:reason
1579,ENTY:other,ENTY:animal
1580,DESC:desc,ENTY:cremat
1581,ENTY:sport,ENTY:sport
1582,DESC:manner,DESC:manner
1583,LOC:state,ENTY:cremat
1584,DESC:reason,DESC:desc
1585,ENTY:techmeth,ENTY:techmeth
1586,HUM:ind,HUM:ind
1587,NUM:period,NUM:period
1588,DESC:desc,ENTY:other
1589,LOC:country,HUM:ind
1590,NUM:count,NUM:count
1591,DESC:def,ENTY:other
1592,NUM:date,NUM:date
1593,NUM:date,ENTY:sport
1594,DESC:desc,ENTY:product
1595,NUM:count,NUM:count
1596,ENTY:lang,ENTY:lang
1597,HUM:ind,HUM:ind
1598,ENTY:techmeth,ENTY:techmeth
1599,HUM:gr,HUM:gr
1600,LOC:other,LOC:other
1601,NUM:count,NUM:count
1602,NUM:date,NUM:date
1603,HUM:ind,HUM:ind
1604,NUM:period,NUM:period
1605,LOC:country,LOC:country
1606,LOC:city,LOC:city
1607,LOC:other,LOC:other
1608,LOC:other,LOC:other
1609,LOC:state,NUM:perc
1610,DESC:reason,DESC:reason
1611,ENTY:word,HUM:ind
1612,LOC:other,LOC:other
1613,ENTY:color,ENTY:color
1614,HUM:ind,HUM:ind
